Virtual User Script started at: 28.10.2022 9:29:35	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Web Turbo Replay of LoadRunner 2020.0.0 for Windows 10; build 793 (ноя 27 2019 19:51:20)  	[MsgId: MMSG-26983]
Run mode: HTML  	[MsgId: MMSG-26993]
Replay user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:105.0) Gecko/20100101 Firefox/105.0  	[MsgId: MMSG-26988]
Runtime Settings file: "C:\Users\Nikitka\AppData\Local\Temp\lr5tmpdirD9P.12\lrcfgTjZ.13\cfgE2a.16"  	[MsgId: MMSG-27141]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Maximum number of concurrent connections per server: 6  	[MsgId: MMSG-26989]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(4): Notify: Transaction "UC_1_BuyTicket" started.	[MsgId: MMSG-16999]
..\\common_lib.h(64): Notify: Transaction "homePage" started.	[MsgId: MMSG-16999]
..\\common_lib.h(66): web_add_auto_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
..\\common_lib.h(66): web_add_auto_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
..\\common_lib.h(70): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
..\\common_lib.h(70): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
..\\common_lib.h(79): web_url("WebTours") started  	[MsgId: MMSG-26355]
..\\common_lib.h(79): Detected non-resource "http://localhost:8090/WebTours/header.html" in "http://localhost:8090/WebTours/"  	[MsgId: MMSG-26574]
..\\common_lib.h(79): Detected non-resource "http://localhost:8090/WebTours/welcome.pl?signOff=true" in "http://localhost:8090/WebTours/"  	[MsgId: MMSG-26574]
..\\common_lib.h(79): Found resource "http://localhost:8090/WebTours/images/jmeter_logo.png" in HTML "http://localhost:8090/WebTours/header.html"  	[MsgId: MMSG-26659]
..\\common_lib.h(79): Found resource "http://localhost:8090/WebTours/images/webtours.png" in HTML "http://localhost:8090/WebTours/header.html"  	[MsgId: MMSG-26659]
..\\common_lib.h(79): Found resource "http://localhost:8090/WebTours/images/in_home.gif" in HTML "http://localhost:8090/WebTours/header.html"  	[MsgId: MMSG-26659]
